# LEMpy all scores file for replicate 0 
# Run configuration file:  /mnt/c/users/sophi/Desktop/wavepool_LEM/results_tfs_sophie/edge_finding_20211118122401/lempy_20211118122401_config.txt 
# Time series data file:   /mnt/c/users/sophi/Desktop/wavepool_LEM/RSEM_TPM_timeseries.tsv 
# Ground truth edge list:   
# Computed on:  2021-11-18 12:24:17 
 
model	pld	loss	norm_loss
YER111C=tf_act(YNL068C)	0.00162069	312.2609460580442	1.0000000000000016
YER111C=tf_rep(YDL056W)	0.00157466	309.5439639179971	0.9912990011259952
YCR065W=tf_act(YOR083W)	0.001554	288.55761942396106	1.0000000000212068
YCR065W=tf_rep(YCR065W)	0.00149048	288.48907691006104	0.9997624650913085
YML027W=tf_act(YOR083W)	0.00141063	288.27874041064393	1.000000000000509
YML027W=tf_act(YDL056W)	0.00137762	288.2787404105349	1.0000000000001308
YCR065W=tf_act(YIL131C)	0.00137393	288.5576194249626	1.0000000000246776
YCR065W=tf_rep(YER111C)	0.00132088	288.5576194188469	1.0000000000034837
YML027W=tf_act(YIL131C)	0.00131257	288.2787404105581	1.0000000000002112
YCR065W=tf_act(YDL056W)	0.00131122	288.5576194222627	1.000000000015321
YML027W=tf_rep(YDL056W)	0.00126954	282.0480775801243	0.978386672491004
YCR065W=tf_act(YNL068C)	0.00122644	288.5576194255642	1.0000000000267626
YCR065W=tf_rep(YML027W)	0.00105126	288.5576194219246	1.0000000000141493
YML027W=tf_act(YNL068C)	0.00103761	288.2787404105942	1.0000000000003364
YCR065W=tf_rep(YOR083W)	0.000962172	265.8737109512305	0.9213886345736584
YCR065W=tf_rep(YNL068C)	0.000905587	248.30957396361384	0.8605199005473245
YML027W=tf_rep(YCR065W)	0.000900389	255.86835876776982	0.8875727651765914
YML027W=tf_act(YCR065W)	0.000895512	288.27874041073676	1.000000000000831
YML027W=tf_act(YML027W)	0.00085916	266.89469564848105	0.9258216380036691
YCR065W=tf_rep(YDL056W)	0.000795511	261.0385429080681	0.9046322999015147
YML027W=tf_rep(YOR083W)	0.000683497	272.61913633889355	0.9456789493068236
YNL068C=tf_act(YNL068C)	0.000629497	282.0554606545994	0.9000693250195262
YCR065W=tf_act(YCR065W)	0.000585198	282.25853168674666	0.9781704335383579
YCR065W=tf_act(YDR451C)	0.00053459	288.5576194204782	1.000000000009137
YML027W=tf_rep(YNL068C)	0.000514668	266.4421354886679	0.9242517679564753
YIL131C=tf_act(YNL068C)	0.000487914	363.2883950737412	0.991240736957425
YIL131C=tf_act(YIL131C)	0.000428125	339.7604547648896	0.9270442109822353
YNL068C=tf_act(YIL131C)	0.000402776	249.83206010574716	0.7972409865270612
YCR065W=tf_act(YML027W)	0.00024178	236.65642192791333	0.8201357579999522
YNL068C=tf_rep(YNL068C)	0.00022317	313.3708180183685	1.0000000000000364
YNL068C=tf_act(YDL056W)	0.000198249	256.8917876991707	0.81976933692697
YIL131C=tf_rep(YDL056W)	0.000189558	366.4986531816828	0.9999999999999278
YIL131C=tf_rep(YNL068C)	0.000149061	366.4986531816731	0.9999999999999014
YNL068C=tf_rep(YML027W)	0.000147781	313.37081801836064	1.0000000000000113
YNL068C=tf_rep(YDL056W)	0.000140237	313.37081801837274	1.00000000000005
YIL131C=tf_rep(YML027W)	0.000128707	366.4986531816731	0.9999999999999014
YIL131C=tf_act(YDL056W)	0.000123372	363.30368537306856	0.9912824568906216
YIL131C=tf_rep(YOR083W)	0.0000886891	366.4986531816992	0.9999999999999726
YNL068C=tf_rep(YER111C)	0.0000883621	313.3708180184157	1.0000000000001872
YIL131C=tf_rep(YER111C)	0.0000868929	366.4986531816734	0.9999999999999021
YIL131C=tf_rep(YIL131C)	0.0000862947	366.49865318167963	0.9999999999999192
YNL068C=tf_rep(YIL131C)	0.0000782638	313.37081801835717	1.0000000000000004
YIL131C=tf_rep(YDR451C)	0.0000768722	366.49865318170924	1.0
YIL131C=tf_rep(YCR065W)	0.0000593654	366.4986531816734	0.9999999999999021
YNL068C=tf_rep(YDR451C)	0.0000425757	313.3708180184135	1.00000000000018
YNL068C=tf_rep(YOR083W)	0.0000406025	313.37081801840844	1.0000000000001639
YNL068C=tf_rep(YCR065W)	0.0000342829	313.37081801840174	1.0000000000001426
