# LEMpy all scores file for replicate 0 
# Run configuration file:  ../results/Okimflemingiae_DD_RPKM__20251111121609_lempy/lempy_20251111121609_config.txt 
# Time series data file:   ../tmp/tmp_20251111121609.tsv 
# Ground truth edge list:   
# Computed on:  2025-11-11 12:23:42 
 
model	pld	loss	norm_loss
Ophio5|4218=tf_act(Ophio5|5850)	0.0401142	570.0738664250658	0.9670184645880966
Ophio5|8584=tf_act(Ophio5|84)	0.0399865	503.9353893941505	0.7875605067872353
Ophio5|392=tf_rep(Ophio5|4218)	0.0395053	557.4460494883186	0.6071828431429733
Ophio5|392=tf_act(Ophio5|1654)	0.0387484	618.6730738179688	0.6738727026258504
Ophio5|997=tf_rep(Ophio5|2056)	0.0381358	603.0317939248871	0.9999999999999573
Ophio5|997=tf_rep(Ophio5|4218)	0.0381358	603.0317939248871	0.9999999999999573
Ophio5|997=tf_rep(Ophio5|3300)	0.0381353	603.0317938988613	0.999999999956799
Ophio5|6920=tf_act(Ophio5|1479)	0.0369462	716.9073912786333	0.6812986320915215
Ophio5|756=tf_act(Ophio5|756)	0.0367387	248.229825946133	0.3906128792107049
Ophio5|6920=tf_act(Ophio5|6835)	0.0366929	717.3857707913656	0.6817532505145005
Ophio5|392=tf_rep(Ophio5|8584)	0.0346765	558.8773483091665	0.6087418461859175
Ophio5|8584=tf_act(Ophio5|6920)	0.0346501	472.811737115454	0.7389198280860454
Ophio5|5850=tf_act(Ophio5|6920)	0.0337644	731.7301897271623	0.9147117342876152
Ophio5|1479=tf_rep(Ophio5|8604)	0.0335445	386.9783841690077	0.5289480451355408
Ophio5|512=tf_act(Ophio5|8321)	0.0334882	496.09692469680505	0.7826139490529797
Ophio5|4218=tf_act(Ophio5|512)	0.0326077	543.9613899588447	0.9227237715910144
Ophio5|997=tf_act(Ophio5|997)	0.0325481	575.0224199331998	0.9535524092197355
Ophio5|997=tf_act(Ophio5|512)	0.0323088	534.0719621179727	0.8856447827433676
Ophio5|4218=tf_rep(Ophio5|2056)	0.0321677	589.5170436770198	0.9999999999999997
Ophio5|4218=tf_rep(Ophio5|4218)	0.0321677	589.5170436770198	0.9999999999999997
Ophio5|2056=tf_act(Ophio5|8321)	0.0315991	508.32432262968246	0.9999999999999276
Ophio5|997=tf_rep(Ophio5|1654)	0.0304144	603.0195540921414	0.9999797028400579
Ophio5|1654=tf_act(Ophio5|4218)	0.0301135	671.4893194059914	0.7670324537147664
Ophio5|997=tf_act(Ophio5|8584)	0.0297845	535.6649388340095	0.8882863958922675
Ophio5|1479=tf_act(Ophio5|491)	0.0295078	398.2119241070659	0.544302801972793
Ophio5|491=tf_rep(Ophio5|84)	0.0294398	816.2240795042047	0.8313130545024876
Ophio5|1654=tf_act(Ophio5|3760)	0.0289026	708.3350353932556	0.8091207775731256
Ophio5|3760=tf_act(Ophio5|6920)	0.0284966	660.1630440078676	0.7573617074656702
Ophio5|1654=tf_act(Ophio5|3300)	0.0275972	723.4892484437111	0.8264312140674689
Ophio5|997=tf_act(Ophio5|3760)	0.027478	535.7684589185728	0.8884580619397401
Ophio5|997=tf_rep(Ophio5|997)	0.0269982	562.6784798436427	0.9330826094282272
Ophio5|2056=tf_act(Ophio5|4218)	0.0269808	473.8061901836349	0.9320942734600789
Ophio5|2056=tf_act(Ophio5|2056)	0.0268415	474.02035736661804	0.9325155934195001
Ophio5|491=tf_rep(Ophio5|8604)	0.0267825	809.1735247381816	0.8241321609639878
Ophio5|997=tf_act(Ophio5|6835)	0.0261107	602.9962987015431	0.9999411387198364
Ophio5|491=tf_act(Ophio5|2137)	0.0257766	703.0267745601568	0.7160231485839483
Ophio5|2056=tf_rep(Ophio5|2237)	0.0253789	505.86213579683084	0.9951562679114965
Ophio5|6920=tf_act(Ophio5|8321)	0.0252073	715.3043391745017	0.6797752035162233
Ophio5|2056=tf_rep(Ophio5|6920)	0.0250006	508.3243226296827	0.9999999999999281
Ophio5|2056=tf_rep(Ophio5|997)	0.0250006	508.3243226296829	0.9999999999999285
Ophio5|2056=tf_rep(Ophio5|3300)	0.0250006	508.3243226296845	0.9999999999999317
Ophio5|2056=tf_rep(Ophio5|512)	0.0250006	508.3243226296847	0.999999999999932
Ophio5|2056=tf_rep(Ophio5|8321)	0.0250005	508.3243226296845	0.9999999999999317
Ophio5|1479=tf_rep(Ophio5|8584)	0.0248534	479.9377885334349	0.656011202218892
