time_points	0	3	6	9	12	15	18	21	24	27	30	33	36	39	42	45	48	51	54	57	60
PF3D7_0104100	0.384629	0.188536	0.177271	0.0752779	0.111441	0.0568259	0.155683	3.01052	16.2403	32.3239	33.5632	26.445	9.55712	4.78261	0.821989	0.384028	0.418529	0.0339531	0.574939	3.26115	9.12536
PF3D7_0104200	33.2666	19.7827	58.9162	157.456	222.404	187.022	153.912	137.789	165.203	220.089	686.71	1583.7	2980.64	1224.15	70.2416	81.328	157.342	177.258	152.142	140.198	147.232
PF3D7_0104300	172.096	121.819	89.1891	78.3936	69.9812	47.3539	37.5605	32.8791	26.6003	22.1096	61.5214	157.963	783.415	643.508	112.762	88.1271	71.2083	49.801	33.8424	31.2314	27.3202
PF3D7_0104400	5.15677	4.12352	9.72163	19.7911	27.7628	32.3102	29.6444	37.7613	37.0839	31.5362	37.8721	34.2247	33.5338	33.2482	5.7395	10.4389	20.575	27.5063	30.5849	32.5078	33.5756
PF3D7_0104500	107.842	93.5422	91.7414	99.3285	99.727	95.06	87.0514	61.5052	29.6549	12.9792	8.45886	8.0699	14.1995	14.9561	65.127	84.1602	81.5574	86.5194	79.6463	67.201	41.8169
PF3D7_0104600	11.7856	8.71003	8.71654	8.15491	7.17212	10.2362	8.50809	5.665	2.7584	2.78748	2.78363	1.45066	2.60632	4.57292	7.25589	8.1345	9.14077	9.33353	8.96421	7.3362	4.36997
PF3D7_0104700	0.576543	0.51471	0.341689	0.253954	0.104384	0.127773	0.311136	0.307872	0.308165	0.132332	0.171927	0.279046	1.316	2.76011	1.60038	0.493408	0.305789	0.209819	0.408348	0.405877	0.236154
PF3D7_0104800	1.72904	1.56722	0.755305	1.84505	7.19375	32.19	55.1945	64.8464	71.6199	55.4404	64.2839	168.184	123.885	57.4881	4.58325	2.10277	8.64018	25.3762	43.1077	53.4511	64.4926
PF3D7_0104900	8694.11	7757.99	5744.82	5676.56	7274.79	4280.04	4203.45	6150.78	4869.65	7359.36	11010.8	12787.6	21575.8	17750.4	11376.9	6551.34	6157.07	4028.7	3526.14	3954.47	3980.28
PF3D7_0105000	322.333	243.51	239.148	194.629	140.526	172.961	170.474	135.064	119.663	100.734	112.367	83.9156	890.599	403.709	191.177	213.629	167.702	147.29	144.606	132.075	127.735
