Phatr2_55122	28345	50473	29648	15079	21080	15357	16398	44032
Phatr2_44315	30396	43166	30540	17778	22078	16611	17591	48241
Phatr2_50037	1680	3045	2101	1451	1352	1040	1063	2595
Phatr2_44122	12241	17625	13660	8471	8765	6790	7050	16650
Phatr2_40273	4078	5286	3777	2665	2327	2243	2101	5144
Phatr2_51720	12516	16922	13759	6804	8581	7198	6929	16213
Phatr2_54757	22537	21784	27102	16536	11513	10543	10528	33432
Phatr2_5466	14142	18236	14800	7586	7986	5856	5840	16476
Phatr2_22388	19681	24290	19122	9020	10985	8817	9253	21070
Phatr2_49564	2727	3586	2887	1752	1536	1038	1250	2800
Phatr2_43743	27496	36534	27719	19405	15332	12508	13780	38609
Phatr2_14995	7350	7302	3734	3822	4112	3380	3566	7294
Phatr2_46400	7023	6977	3797	4522	4346	3916	3969	7927
Phatr2_20708	7223	7426	4064	4992	4909	4227	4361	8115
Phatr2_49509	25923	38694	27796	19965	25868	19291	19651	40906
Phatr2_31846	6593	6747	5559	3599	5533	3764	3664	8184
Phatr2_49130	3150	4272	3277	2329	2591	2091	1918	4520
Phatr2_7525	18930	23934	17421	11384	13960	11540	11269	26022
Phatr2_39466	4105	5262	4075	2903	3023	2939	2848	4775
Phatr2_13921	21674	28542	20576	16659	16544	14639	14496	27296
Phatr2_37738	1071	1383	1050	835	765	782	762	1514
Phatr2_45014	3610	4342	3472	2886	2505	2108	2333	4036
Phatr1_52530	5226	7093	5392	4475	4347	3221	3454	5694
Phatr1_23783	11036	13430	10286	9386	8917	6834	7129	11378
Phatr2_8521	1988	6056	2886	1742	1659	1626	1674	3608
Phatr2_14843	4218	8168	6035	3804	3410	3711	3587	7615
Phatr2_47192	21351	37868	29814	13859	20188	14404	15852	35775
Phatr2_48173	4549	8450	4628	2872	3113	2825	3069	6642
Phatr2_8770	8330	15280	10825	5093	6462	5347	5990	12588
Phatr2_51848	1482	3334	2007	1108	1218	1085	1176	2811
Phatr2_2037	1184	2544	1753	880	948	957	1021	1766
Phatr2_52325	4395	6430	5649	2956	2994	3090	3127	5972
Phatr2_50544	23147	33800	24568	14522	17974	16418	17050	31360
Phatr2_37779	9595	9500	11172	6258	5747	5883	6203	14074
Phatr1_61440	7963	9774	8869	5377	5269	5225	5854	11609
Phatr2_45185	2280	3071	3297	1323	1298	1382	1324	2098
Phatr2_49751	4467	6790	6877	3588	3216	3018	3109	6098
Phatr2_43124	13135	17121	16373	7072	9002	7430	7757	15493
Phatr2_38299	10979	17678	16118	6836	8095	6789	7398	13420
Phatr2_48148	1815	2603	2055	1664	984	1269	1216	2942
Phatr2_33833	1206	2189	1460	1243	987	848	881	1965
Phatr2_45833	5857	9072	6119	6890	4368	4190	4195	8277
Phatr2_7114	18562	29483	22236	13299	10632	10714	11580	29747
Phatr2_40630	1822	4148	2968	1635	1542	1372	1414	3964
Phatr2_43972	13100	24634	22153	11258	11885	10104	10159	25459
Phatr2_43061	23001	25903	23214	15319	16197	14634	15513	27923
Phatr2_48863	4972	7210	4931	3524	3438	3182	3362	6755
Phatr2_31704	8226	12128	9170	5966	5918	5963	5954	11283
Phatr2_42807	13554	20080	17465	11600	10171	9517	9210	20726
Phatr2_48979	11135	17783	13890	8102	9505	7364	7481	16859
Phatr2_45664	216	398	314	162	174	151	153	378
Phatr2_9634	5363	3155	1799	1119	255	560	612	3598
Phatr2_30246	40052	16526	7720	7266	2238	4159	5432	16572
Phatr2_11710	2480	1592	405	294	233	296	251	869
Phatr2_13107	17180	12242	6863	4405	1548	3464	2976	9626
Phatr2_22873	196849	108455	63758	53594	36102	42817	39569	123861
Phatr2_35813	3353	2049	663	504	390	541	538	1640
Phatr2_36821	26946	29400	10223	2303	2381	5994	4615	19397
Phatr2_45238	8833	13917	2620	690	1121	1564	2077	15168
Phatr2_39133	5818	4569	876	837	399	695	911	4644
Phatr2_45845	31101	40320	15673	7400	2553	6738	8506	41049
Phatr2_31834	3111	4002	1399	828	480	961	925	3335
Phatr2_10970	15828	12634	19944	6207	816	2361	4723	6719
Phatr2_45070	15869	23076	33432	9732	1236	1820	4978	19948
Phatr2_47528	25095	65123	110411	31116	7181	9126	18934	49262
Phatr2_18793	11697	14000	6428	2328	1506	899	1946	14819
Phatr2_48555	31157	36976	24515	10115	5592	4758	7689	42272
Phatr2_46917	211833	224444	129460	93249	67544	35498	89812	237528
Phatr2_43298	7472	13276	9533	7265	3411	2209	4046	14470
Phatr2_48280	7203	5644	5905	3812	1731	1651	2318	4922
Phatr2_47279	88404	206037	167644	88234	46167	55675	56744	185627
Phatr2_47966	641	2526	1084	540	338	421	415	1849
Phatr2_30578	8678	17068	12169	6777	3790	4385	4806	15057
Phatr2_24493	19762	44993	24469	15608	9744	9852	11852	40868
Phatr2_14103	9140	21329	10514	7948	4954	4942	5295	17674
Phatr2_3851	2039	5190	2809	1712	1189	1200	1146	3318
Phatr2_18533	31281	59205	54018	31206	28734	21375	22751	60719
Phatr2_32937	1974	3187	2252	1959	1549	1074	1075	2758
Phatr2_41291	2040	4512	3226	1799	1698	1526	1410	3664
Phatr2_34205	3179	7514	6106	3523	3106	2956	2694	6989
Phatr2_45778	3184	8050	5139	3794	3129	2573	2505	7567
Phatr2_49730	5715	12483	8695	6517	3828	4216	3945	11510
Phatr2_20188	10008	21300	15191	9546	7209	7569	6969	21365
Phatr2_54412	10487	23664	14964	11151	8604	7755	8784	21412
Phatr2_52684	4354	11590	6670	4274	3244	2810	3092	8526
Phatr2_45432	2221	6611	3410	2442	1836	1970	1694	6017
