Ophio5|8560	12.75	12.9	13.19	10.88	13.35	13.68	24.87	17.7	13.74	19.15	13.79	14.64
Ophio5|855	150.73	206.77	137.13	67.31	133.69	111.46	177.83	173.94	150.92	184.54	120.5	149.71
Ophio5|8559	21.68	19.98	21.23	45.75	22.21	23.03	32.08	22.35	23.76	31.92	22.16	30.75
Ophio5|8558	10.56	8.88	11.84	24.79	11.59	8.08	18.95	9.76	14.28	16.11	11.53	15.63
Ophio5|8557	20.36	15.74	16.49	36.97	19.89	16.19	26.75	20.9	22.1	25.76	21.12	26.46
Ophio5|8556	68.84	50.03	84.78	120.95	84.82	86.79	78.41	54.97	92.49	62.82	96.29	108.57
Ophio5|8555	12.52	37.53	16.41	15.31	15.71	6.22	16.74	25.01	18.42	31.78	9.95	14.8
Ophio5|8554	112.55	112.64	131.18	80.9	106.22	72.28	94.01	143.01	218.36	86.54	92.72	135.15
Ophio5|8553	1148.02	1294.37	1181.33	1803.61	1056.12	1047.36	750.51	1131.24	1812.95	1187.01	1081.98	1614.21
Ophio5|8552	318.26	369.06	341.07	1192.72	431.38	835.59	238.31	283.37	357.27	308.3	357.24	371.58
Ophio5|8551	16.53	14.59	17.7	31.51	13.89	13.23	12.77	12.92	20.47	11.81	13.45	18.98
Ophio5|8550	45.09	31.01	39.12	91.95	43.4	36.38	44.23	30.74	48.06	38.86	36.05	42.6
Ophio5|854	80.23	88.46	78.16	82.86	71.02	59.4	114.8	91.19	104.33	105.68	76.93	104.16
Ophio5|8549	55.04	19.38	35.68	15.99	24.7	18.99	16.03	21.76	60.38	31.1	27.45	52.75
Ophio5|8548	1587.91	1506.67	1639.23	1749.32	1517.96	1498.55	1874.81	1704.40	1816.13	2496.84	1342.52	1755.06
Ophio5|8547	14.07	8.73	19.59	3.23	22.61	20.28	15.07	11.3	24.31	18.14	34.22	30.3
Ophio5|8546	309.45	199.48	588.17	509.57	573.91	414.73	322.66	187.29	453.7	251.94	897	758.08
